variable,horizon,lower,median,upper,model
hours_worked,36,-0.179,-0.0393,0.1003,bayesian_td632
hours_worked,37,-0.1844,-0.0439,0.0968,bayesian_td632
hours_worked,38,-0.1895,-0.0466,0.0915,bayesian_td632
hours_worked,39,-0.1969,-0.0505,0.0873,bayesian_td632
hours_worked,40,-0.202,-0.0544,0.0818,bayesian_td632
unemployment,1,0.1176,0.1733,0.2086,bayesian_td632
unemployment,2,0.1856,0.2532,0.2913,bayesian_td632
unemployment,3,0.2322,0.2956,0.3324,bayesian_td632
unemployment,4,0.2673,0.3218,0.3586,bayesian_td632
unemployment,5,0.2904,0.3362,0.3744,bayesian_td632
unemployment,6,0.3009,0.3416,0.3829,bayesian_td632
unemployment,7,0.298,0.3368,0.3836,bayesian_td632
unemployment,8,0.2854,0.3311,0.3801,bayesian_td632
unemployment,9,0.2665,0.3184,0.3694,bayesian_td632
unemployment,10,0.2417,0.3,0.3582,bayesian_td632
unemployment,11,0.2146,0.2799,0.3452,bayesian_td632
unemployment,12,0.1837,0.257,0.326,bayesian_td632
unemployment,13,0.1509,0.2319,0.3084,bayesian_td632
unemployment,14,0.1208,0.2039,0.2879,bayesian_td632
unemployment,15,0.0914,0.1773,0.2644,bayesian_td632
unemployment,16,0.0654,0.1504,0.242,bayesian_td632
unemployment,17,0.04,0.1274,0.2218,bayesian_td632
unemployment,18,0.0152,0.1064,0.2027,bayesian_td632
unemployment,19,-0.0087,0.0864,0.1821,bayesian_td632
unemployment,20,-0.0275,0.0676,0.1618,bayesian_td632
unemployment,21,-0.0427,0.0513,0.1444,bayesian_td632
unemployment,22,-0.0542,0.0363,0.1292,bayesian_td632
unemployment,23,-0.0647,0.023,0.1143,bayesian_td632
unemployment,24,-0.0723,0.0113,0.1,bayesian_td632
unemployment,25,-0.0777,0.0027,0.0887,bayesian_td632
unemployment,26,-0.0785,-0.0049,0.0796,bayesian_td632
unemployment,27,-0.0808,-0.0107,0.0684,bayesian_td632
unemployment,28,-0.082,-0.0154,0.0614,bayesian_td632
unemployment,29,-0.0811,-0.0191,0.0539,bayesian_td632
unemployment,30,-0.082,-0.02,0.0498,bayesian_td632
unemployment,31,-0.0793,-0.0214,0.0463,bayesian_td632
unemployment,32,-0.076,-0.0214,0.0414,bayesian_td632
unemployment,33,-0.0735,-0.0198,0.0374,bayesian_td632
unemployment,34,-0.0709,-0.0179,0.0339,bayesian_td632
unemployment,35,-0.0694,-0.0163,0.0311,bayesian_td632
unemployment,36,-0.0675,-0.0151,0.0296,bayesian_td632
unemployment,37,-0.0634,-0.014,0.0286,bayesian_td632
unemployment,38,-0.0604,-0.0123,0.0277,bayesian_td632
unemployment,39,-0.0568,-0.0113,0.0279,bayesian_td632
unemployment,40,-0.0546,-0.0104,0.028,bayesian_td632
labor_share,1,0.2944,0.4148,0.5222,bayesian_td632
labor_share,2,0.1748,0.2578,0.3482,bayesian_td632
labor_share,3,0.0927,0.168,0.2516,bayesian_td632
labor_share,4,0.0195,0.0842,0.1593,bayesian_td632
labor_share,5,-0.048,0.0139,0.0876,bayesian_td632
labor_share,6,-0.1065,-0.0448,0.0283,bayesian_td632
labor_share,7,-0.1548,-0.0945,-0.021,bayesian_td632
labor_share,8,-0.1934,-0.1338,-0.0606,bayesian_td632
labor_share,9,-0.2249,-0.1657,-0.0911,bayesian_td632
labor_share,10,-0.249,-0.1879,-0.1118,bayesian_td632
labor_share,11,-0.2671,-0.2007,-0.1252,bayesian_td632
labor_share,12,-0.2772,-0.2075,-0.1372,bayesian_td632
labor_share,13,-0.2814,-0.2115,-0.1401,bayesian_td632
labor_share,14,-0.2828,-0.2087,-0.1359,bayesian_td632
labor_share,15,-0.2811,-0.2036,-0.1308,bayesian_td632
labor_share,16,-0.2748,-0.1948,-0.1204,bayesian_td632
labor_share,17,-0.2636,-0.1825,-0.1076,bayesian_td632
labor_share,18,-0.2513,-0.1667,-0.0947,bayesian_td632
labor_share,19,-0.2396,-0.151,-0.0771,bayesian_td632
labor_share,20,-0.2223,-0.1338,-0.0609,bayesian_td632
labor_share,21,-0.2068,-0.1177,-0.0433,bayesian_td632
labor_share,22,-0.1893,-0.1017,-0.0286,bayesian_td632
labor_share,23,-0.1748,-0.0872,-0.0126,bayesian_td632
labor_share,24,-0.1576,-0.0708,0.0018,bayesian_td632
labor_share,25,-0.1435,-0.0569,0.0147,bayesian_td632
labor_share,26,-0.1303,-0.0446,0.0261,bayesian_td632
labor_share,27,-0.1189,-0.0338,0.034,bayesian_td632
labor_share,28,-0.1068,-0.0235,0.0423,bayesian_td632
labor_share,29,-0.0955,-0.0143,0.0498,bayesian_td632
labor_share,30,-0.0876,-0.0083,0.0566,bayesian_td632
labor_share,31,-0.0778,-0.0022,0.0616,bayesian_td632
labor_share,32,-0.07,0.0026,0.0654,bayesian_td632
labor_share,33,-0.064,0.005,0.0695,bayesian_td632
labor_share,34,-0.0603,0.0057,0.0731,bayesian_td632
labor_share,35,-0.0574,0.0064,0.0737,bayesian_td632
labor_share,36,-0.0553,0.0084,0.0732,bayesian_td632
labor_share,37,-0.0537,0.0096,0.0742,bayesian_td632
labor_share,38,-0.0536,0.0102,0.0752,bayesian_td632
labor_share,39,-0.0554,0.0101,0.0761,bayesian_td632
labor_share,40,-0.0557,0.0089,0.0752,bayesian_td632
interest,1,0.0012,0.0441,0.0927,bayesian_td632
interest,2,-0.0191,0.0261,0.0801,bayesian_td632
interest,3,-0.0363,0.01,0.0641,bayesian_td632
interest,4,-0.0505,-0.0039,0.0491,bayesian_td632
interest,5,-0.063,-0.0162,0.0339,bayesian_td632
interest,6,-0.0721,-0.026,0.0228,bayesian_td632
interest,7,-0.0791,-0.032,0.0126,bayesian_td632
interest,8,-0.0838,-0.0377,0.0058,bayesian_td632
interest,9,-0.0864,-0.0411,0.0016,bayesian_td632
interest,10,-0.0872,-0.0427,0,bayesian_td632
interest,11,-0.0854,-0.0432,-0.0021,bayesian_td632
interest,12,-0.0838,-0.0429,-0.0032,bayesian_td632
interest,13,-0.0814,-0.0411,-0.0034,bayesian_td632
interest,14,-0.0786,-0.038,-0.0016,bayesian_td632
interest,15,-0.0743,-0.0345,2e-04,bayesian_td632
interest,16,-0.0716,-0.0307,0.0021,bayesian_td632
interest,17,-0.0692,-0.0275,0.0061,bayesian_td632
interest,18,-0.066,-0.0244,0.0089,bayesian_td632
interest,19,-0.0626,-0.0212,0.0118,bayesian_td632
interest,20,-0.0581,-0.0184,0.0146,bayesian_td632
interest,21,-0.0542,-0.0152,0.0167,bayesian_td632
interest,22,-0.0509,-0.0127,0.0183,bayesian_td632
interest,23,-0.0484,-0.0104,0.02,bayesian_td632
interest,24,-0.0464,-0.009,0.0214,bayesian_td632
interest,25,-0.0423,-0.0076,0.0223,bayesian_td632
interest,26,-0.0413,-0.0059,0.0226,bayesian_td632
interest,27,-0.0401,-0.0054,0.0241,bayesian_td632
interest,28,-0.0397,-0.0052,0.0239,bayesian_td632
interest,29,-0.0388,-0.0047,0.0248,bayesian_td632
interest,30,-0.0381,-0.0053,0.0238,bayesian_td632
interest,31,-0.0373,-0.0056,0.0239,bayesian_td632
interest,32,-0.0361,-0.0058,0.0236,bayesian_td632
interest,33,-0.0364,-0.0061,0.0232,bayesian_td632
interest,34,-0.0356,-0.0062,0.022,bayesian_td632
interest,35,-0.0357,-0.0069,0.0209,bayesian_td632
interest,36,-0.0363,-0.0076,0.0204,bayesian_td632
interest,37,-0.0366,-0.0082,0.0193,bayesian_td632
interest,38,-0.0364,-0.0083,0.0184,bayesian_td632
interest,39,-0.0364,-0.0089,0.0173,bayesian_td632
interest,40,-0.0363,-0.0095,0.0162,bayesian_td632
inflation,1,0.022,0.0606,0.098,bayesian_td632
inflation,2,0.0082,0.0347,0.0633,bayesian_td632
inflation,3,-0.0064,0.0188,0.0463,bayesian_td632
inflation,4,-0.019,0.0068,0.0321,bayesian_td632
inflation,5,-0.0295,-0.0036,0.0208,bayesian_td632
inflation,6,-0.0372,-0.0112,0.0126,bayesian_td632
inflation,7,-0.0422,-0.0162,0.0064,bayesian_td632
inflation,8,-0.0457,-0.0205,0.0017,bayesian_td632
inflation,9,-0.0475,-0.0234,-0.002,bayesian_td632
inflation,10,-0.0479,-0.0253,-0.0038,bayesian_td632
inflation,11,-0.0487,-0.0267,-0.0048,bayesian_td632
inflation,12,-0.0481,-0.0272,-0.0055,bayesian_td632
inflation,13,-0.0484,-0.0262,-0.0045,bayesian_td632
inflation,14,-0.048,-0.0258,-0.0034,bayesian_td632
inflation,15,-0.0457,-0.0244,-0.0027,bayesian_td632
inflation,16,-0.045,-0.0229,-0.0017,bayesian_td632
inflation,17,-0.044,-0.0214,1e-04,bayesian_td632
inflation,18,-0.042,-0.02,0.0025,bayesian_td632
inflation,19,-0.0403,-0.0186,0.0033,bayesian_td632
inflation,20,-0.0382,-0.0171,0.0045,bayesian_td632
inflation,21,-0.0367,-0.0156,0.0054,bayesian_td632
inflation,22,-0.0351,-0.014,0.0059,bayesian_td632
inflation,23,-0.0341,-0.0126,0.0067,bayesian_td632
inflation,24,-0.0325,-0.0117,0.0074,bayesian_td632
inflation,25,-0.0312,-0.011,0.0079,bayesian_td632
inflation,26,-0.0296,-0.0104,0.0079,bayesian_td632
inflation,27,-0.0283,-0.0097,0.0083,bayesian_td632
inflation,28,-0.0276,-0.0089,0.0089,bayesian_td632
inflation,29,-0.0269,-0.0084,0.0088,bayesian_td632
inflation,30,-0.026,-0.0079,0.0088,bayesian_td632
inflation,31,-0.0252,-0.0075,0.0087,bayesian_td632
inflation,32,-0.0243,-0.007,0.0088,bayesian_td632
inflation,33,-0.0235,-0.0068,0.0083,bayesian_td632
inflation,34,-0.023,-0.0067,0.008,bayesian_td632
inflation,35,-0.0223,-0.0066,0.0071,bayesian_td632
inflation,36,-0.0219,-0.0064,0.007,bayesian_td632
inflation,37,-0.0212,-0.0064,0.0067,bayesian_td632
inflation,38,-0.0206,-0.0061,0.0064,bayesian_td632
inflation,39,-0.02,-0.0061,0.0061,bayesian_td632
inflation,40,-0.0195,-0.006,0.0061,bayesian_td632
productivity,1,-0.4507,-0.3779,-0.2748,bayesian_td632
productivity,2,-0.3648,-0.2972,-0.2143,bayesian_td632
productivity,3,-0.3086,-0.2324,-0.1519,bayesian_td632
productivity,4,-0.2671,-0.178,-0.0944,bayesian_td632
productivity,5,-0.2364,-0.1328,-0.0373,bayesian_td632
productivity,6,-0.2089,-0.0975,0.0121,bayesian_td632
productivity,7,-0.1877,-0.066,0.0529,bayesian_td632
productivity,8,-0.1719,-0.0429,0.0815,bayesian_td632
productivity,9,-0.1654,-0.0266,0.1027,bayesian_td632
productivity,10,-0.162,-0.0182,0.1205,bayesian_td632
productivity,11,-0.1687,-0.018,0.1309,bayesian_td632
productivity,12,-0.1696,-0.0252,0.1335,bayesian_td632
productivity,13,-0.1811,-0.0317,0.1318,bayesian_td632
productivity,14,-0.1955,-0.0405,0.1261,bayesian_td632
productivity,15,-0.2094,-0.0519,0.1101,bayesian_td632
productivity,16,-0.2278,-0.0675,0.0986,bayesian_td632
productivity,17,-0.2475,-0.0858,0.0825,bayesian_td632
productivity,18,-0.271,-0.1034,0.0669,bayesian_td632
productivity,19,-0.2928,-0.1201,0.0508,bayesian_td632
productivity,20,-0.3142,-0.1378,0.0383,bayesian_td632
productivity,21,-0.3376,-0.1539,0.0269,bayesian_td632
productivity,22,-0.3583,-0.1695,0.013,bayesian_td632
productivity,23,-0.3744,-0.184,-5e-04,bayesian_td632
productivity,24,-0.3917,-0.1991,-0.0159,bayesian_td632
productivity,25,-0.4088,-0.2116,-0.0301,bayesian_td632
productivity,26,-0.4242,-0.2237,-0.0444,bayesian_td632
productivity,27,-0.4354,-0.233,-0.0512,bayesian_td632
productivity,28,-0.4472,-0.2415,-0.0583,bayesian_td632
productivity,29,-0.4556,-0.249,-0.0654,bayesian_td632
productivity,30,-0.4649,-0.2563,-0.0727,bayesian_td632
productivity,31,-0.4695,-0.2606,-0.0762,bayesian_td632
productivity,32,-0.4776,-0.2636,-0.0791,bayesian_td632
productivity,33,-0.4819,-0.2657,-0.0798,bayesian_td632
productivity,34,-0.4885,-0.2674,-0.0843,bayesian_td632
productivity,35,-0.4901,-0.2677,-0.0844,bayesian_td632
productivity,36,-0.4926,-0.2692,-0.084,bayesian_td632
productivity,37,-0.4948,-0.2684,-0.08,bayesian_td632
productivity,38,-0.4957,-0.2694,-0.0771,bayesian_td632
productivity,39,-0.4961,-0.2664,-0.0788,bayesian_td632
productivity,40,-0.4938,-0.2644,-0.0769,bayesian_td632
TFP,1,-0.1351,-0.0357,0.0678,bayesian_td632
TFP,2,-0.1171,-0.0274,0.0725,bayesian_td632
TFP,3,-0.1291,-0.0388,0.0538,bayesian_td632
TFP,4,-0.1458,-0.0539,0.0395,bayesian_td632
TFP,5,-0.1696,-0.0731,0.0248,bayesian_td632
TFP,6,-0.1917,-0.0905,0.0103,bayesian_td632
TFP,7,-0.2176,-0.1101,-0.0052,bayesian_td632
TFP,8,-0.2424,-0.13,-0.0177,bayesian_td632
TFP,9,-0.2619,-0.1485,-0.0277,bayesian_td632
TFP,10,-0.2787,-0.166,-0.0403,bayesian_td632
TFP,11,-0.2958,-0.1779,-0.0483,bayesian_td632
TFP,12,-0.3147,-0.1892,-0.0606,bayesian_td632
TFP,13,-0.3295,-0.1975,-0.0702,bayesian_td632
TFP,14,-0.3424,-0.2076,-0.0763,bayesian_td632
TFP,15,-0.3549,-0.2175,-0.083,bayesian_td632
TFP,16,-0.3615,-0.225,-0.0849,bayesian_td632
TFP,17,-0.3669,-0.2273,-0.0876,bayesian_td632
TFP,18,-0.3713,-0.2312,-0.0893,bayesian_td632
TFP,19,-0.3774,-0.2308,-0.0885,bayesian_td632
TFP,20,-0.3816,-0.2288,-0.0881,bayesian_td632
TFP,21,-0.382,-0.2303,-0.0916,bayesian_td632
TFP,22,-0.3862,-0.2288,-0.0935,bayesian_td632
TFP,23,-0.3887,-0.2279,-0.0927,bayesian_td632
TFP,24,-0.3877,-0.2256,-0.0933,bayesian_td632
TFP,25,-0.3845,-0.2245,-0.0921,bayesian_td632
TFP,26,-0.3816,-0.2201,-0.0892,bayesian_td632
TFP,27,-0.3794,-0.2167,-0.0874,bayesian_td632
TFP,28,-0.3746,-0.2127,-0.0835,bayesian_td632
TFP,29,-0.3711,-0.2068,-0.0814,bayesian_td632
TFP,30,-0.3743,-0.2045,-0.0778,bayesian_td632
TFP,31,-0.3729,-0.2017,-0.0753,bayesian_td632
TFP,32,-0.3699,-0.1992,-0.0734,bayesian_td632
TFP,33,-0.3678,-0.1957,-0.0709,bayesian_td632
TFP,34,-0.3651,-0.1922,-0.0679,bayesian_td632
TFP,35,-0.3617,-0.1892,-0.0659,bayesian_td632
TFP,36,-0.361,-0.1868,-0.0636,bayesian_td632
TFP,37,-0.3563,-0.1846,-0.0623,bayesian_td632
TFP,38,-0.3543,-0.182,-0.0633,bayesian_td632
TFP,39,-0.3502,-0.1792,-0.0624,bayesian_td632
TFP,40,-0.3443,-0.1772,-0.0627,bayesian_td632
output,1,-0.4975,-0.4229,-0.3077,classical_fd
output,2,-0.6911,-0.5873,-0.4463,classical_fd
output,3,-0.7706,-0.6204,-0.3959,classical_fd
output,4,-0.7753,-0.5562,-0.2488,classical_fd
output,5,-0.7361,-0.4329,-0.054,classical_fd
output,6,-0.6424,-0.2904,0.125,classical_fd
output,7,-0.5483,-0.1594,0.2821,classical_fd
output,8,-0.4638,-0.0467,0.3919,classical_fd
output,9,-0.3767,0.0416,0.4647,classical_fd
output,10,-0.314,0.0922,0.5153,classical_fd
output,11,-0.2675,0.132,0.5372,classical_fd
output,12,-0.2392,0.1503,0.5348,classical_fd
output,13,-0.2278,0.148,0.526,classical_fd
output,14,-0.2279,0.1394,0.5003,classical_fd
output,15,-0.2224,0.1185,0.4739,classical_fd
output,16,-0.2219,0.1038,0.4525,classical_fd
output,17,-0.2233,0.0814,0.4232,classical_fd
output,18,-0.2339,0.0654,0.4008,classical_fd
output,19,-0.2466,0.0531,0.373,classical_fd
output,20,-0.2664,0.038,0.3515,classical_fd
output,21,-0.2739,0.0264,0.3405,classical_fd
output,22,-0.2899,0.0181,0.3225,classical_fd
output,23,-0.3011,0.0083,0.3045,classical_fd
output,24,-0.3145,-0.0017,0.2932,classical_fd
output,25,-0.3198,-0.0075,0.291,classical_fd
output,26,-0.3199,-0.0184,0.2824,classical_fd
output,27,-0.3318,-0.0263,0.2776,classical_fd
output,28,-0.3365,-0.0367,0.2822,classical_fd
output,29,-0.3433,-0.0397,0.2783,classical_fd
output,30,-0.3493,-0.041,0.2808,classical_fd
output,31,-0.3568,-0.041,0.2898,classical_fd
output,32,-0.3605,-0.0396,0.2902,classical_fd
output,33,-0.3633,-0.0421,0.2892,classical_fd
output,34,-0.3692,-0.0458,0.293,classical_fd
output,35,-0.3747,-0.0455,0.2979,classical_fd
output,36,-0.3768,-0.0417,0.304,classical_fd
output,37,-0.3811,-0.0421,0.3089,classical_fd
output,38,-0.384,-0.0404,0.3115,classical_fd
output,39,-0.3848,-0.0378,0.3198,classical_fd
output,40,-0.3869,-0.0381,0.3235,classical_fd
investment,1,-1.6863,-1.3911,-0.9886,classical_fd
investment,2,-2.4366,-2.0894,-1.6608,classical_fd
investment,3,-2.6885,-2.183,-1.4699,classical_fd
investment,4,-2.5884,-1.8638,-0.8349,classical_fd
investment,5,-2.3381,-1.3295,-0.1302,classical_fd
investment,6,-1.9025,-0.733,0.5658,classical_fd
investment,7,-1.4462,-0.1919,1.1396,classical_fd
investment,8,-1.0318,0.2455,1.546,classical_fd
investment,9,-0.738,0.5763,1.8034,classical_fd
investment,10,-0.4555,0.8073,1.9127,classical_fd
investment,11,-0.2588,0.8742,1.916,classical_fd
investment,12,-0.1581,0.8693,1.8387,classical_fd
investment,13,-0.0909,0.8448,1.7563,classical_fd
investment,14,-0.0369,0.7731,1.6094,classical_fd
investment,15,-0.0511,0.6887,1.4451,classical_fd
investment,16,-0.1166,0.591,1.3128,classical_fd
investment,17,-0.1683,0.4989,1.1762,classical_fd
investment,18,-0.2185,0.4151,1.064,classical_fd
investment,19,-0.2804,0.3223,0.9583,classical_fd
investment,20,-0.3223,0.2489,0.8594,classical_fd
investment,21,-0.3847,0.191,0.7885,classical_fd
investment,22,-0.4177,0.1386,0.7301,classical_fd
investment,23,-0.4513,0.0906,0.67,classical_fd
investment,24,-0.4835,0.053,0.6236,classical_fd
investment,25,-0.5241,0.0387,0.5949,classical_fd
investment,26,-0.5375,-0.0053,0.592,classical_fd
investment,27,-0.5506,-0.029,0.5833,classical_fd
investment,28,-0.5671,-0.0463,0.5682,classical_fd
investment,29,-0.5906,-0.0584,0.5421,classical_fd
investment,30,-0.6089,-0.0657,0.5406,classical_fd
investment,31,-0.6219,-0.073,0.5345,classical_fd
investment,32,-0.6512,-0.0759,0.5354,classical_fd
investment,33,-0.6439,-0.0719,0.554,classical_fd
investment,34,-0.6515,-0.0616,0.5633,classical_fd
investment,35,-0.6405,-0.0551,0.5814,classical_fd
investment,36,-0.6463,-0.0567,0.5846,classical_fd
investment,37,-0.6369,-0.0434,0.5821,classical_fd
investment,38,-0.6163,-0.0327,0.6078,classical_fd
investment,39,-0.6245,-0.0227,0.6111,classical_fd
investment,40,-0.614,-0.0057,0.6315,classical_fd
consumption,1,-0.2455,-0.1975,-0.1371,classical_fd
consumption,2,-0.3522,-0.2846,-0.1846,classical_fd
consumption,3,-0.4054,-0.3097,-0.1721,classical_fd
consumption,4,-0.4297,-0.3001,-0.1219,classical_fd
consumption,5,-0.4273,-0.2699,-0.0609,classical_fd
consumption,6,-0.4131,-0.223,0.0168,classical_fd
consumption,7,-0.3914,-0.1681,0.0818,classical_fd
consumption,8,-0.3605,-0.1187,0.1406,classical_fd
consumption,9,-0.3305,-0.0776,0.1871,classical_fd
consumption,10,-0.308,-0.039,0.2263,classical_fd
consumption,11,-0.2867,-0.0116,0.2577,classical_fd
consumption,12,-0.2715,0.0109,0.2779,classical_fd
consumption,13,-0.2539,0.0243,0.2902,classical_fd
consumption,14,-0.2465,0.0291,0.2936,classical_fd
consumption,15,-0.2475,0.0302,0.2977,classical_fd
consumption,16,-0.2457,0.0254,0.2965,classical_fd
consumption,17,-0.2486,0.0213,0.2919,classical_fd
consumption,18,-0.2487,0.0157,0.2809,classical_fd
consumption,19,-0.2585,0.0115,0.2717,classical_fd
consumption,20,-0.2697,0.0057,0.2638,classical_fd
consumption,21,-0.2769,-0.0044,0.2591,classical_fd
consumption,22,-0.2858,-0.0094,0.2504,classical_fd
consumption,23,-0.299,-0.015,0.245,classical_fd
consumption,24,-0.3086,-0.0237,0.2384,classical_fd
consumption,25,-0.318,-0.0276,0.2382,classical_fd
consumption,26,-0.3221,-0.0341,0.2311,classical_fd
consumption,27,-0.3233,-0.036,0.2276,classical_fd
consumption,28,-0.327,-0.0427,0.2248,classical_fd
consumption,29,-0.3318,-0.0486,0.2205,classical_fd
consumption,30,-0.3364,-0.0512,0.2173,classical_fd
consumption,31,-0.342,-0.0517,0.218,classical_fd
consumption,32,-0.3473,-0.054,0.2186,classical_fd
consumption,33,-0.3499,-0.0544,0.2192,classical_fd
consumption,34,-0.3544,-0.0552,0.2215,classical_fd
consumption,35,-0.3615,-0.0543,0.2239,classical_fd
consumption,36,-0.3662,-0.0532,0.2245,classical_fd
consumption,37,-0.3672,-0.0567,0.2261,classical_fd
consumption,38,-0.3778,-0.0551,0.2294,classical_fd
consumption,39,-0.3788,-0.0579,0.2378,classical_fd
consumption,40,-0.3819,-0.0564,0.2465,classical_fd
hours_worked,1,-0.3836,-0.3191,-0.2304,classical_fd
hours_worked,2,-0.5453,-0.4781,-0.389,classical_fd
hours_worked,3,-0.6184,-0.534,-0.4093,classical_fd
hours_worked,4,-0.6216,-0.507,-0.3255,classical_fd
hours_worked,5,-0.5956,-0.4214,-0.1641,classical_fd
hours_worked,6,-0.5397,-0.2978,0.0034,classical_fd
hours_worked,7,-0.4543,-0.1739,0.1564,classical_fd
hours_worked,8,-0.3676,-0.0597,0.27,classical_fd
hours_worked,9,-0.2869,0.033,0.352,classical_fd
hours_worked,10,-0.2137,0.1055,0.4065,classical_fd
hours_worked,11,-0.1537,0.151,0.4342,classical_fd
hours_worked,12,-0.1014,0.1775,0.444,classical_fd
hours_worked,13,-0.067,0.185,0.4442,classical_fd
hours_worked,14,-0.0391,0.1851,0.4251,classical_fd
hours_worked,15,-0.0303,0.1748,0.3989,classical_fd
hours_worked,16,-0.0301,0.1698,0.3744,classical_fd
hours_worked,17,-0.0296,0.1612,0.3492,classical_fd
hours_worked,18,-0.0302,0.1472,0.3274,classical_fd
hours_worked,19,-0.0391,0.1331,0.3033,classical_fd
hours_worked,20,-0.0424,0.1184,0.2821,classical_fd
hours_worked,21,-0.0544,0.1056,0.2637,classical_fd
hours_worked,22,-0.0618,0.0954,0.2499,classical_fd
hours_worked,23,-0.0691,0.0862,0.2374,classical_fd
hours_worked,24,-0.0764,0.0732,0.2286,classical_fd
hours_worked,25,-0.0834,0.0648,0.2209,classical_fd
hours_worked,26,-0.088,0.0558,0.2162,classical_fd
hours_worked,27,-0.0926,0.0465,0.2095,classical_fd
hours_worked,28,-0.0958,0.0411,0.2073,classical_fd
hours_worked,29,-0.1006,0.0372,0.1987,classical_fd
hours_worked,30,-0.1052,0.0373,0.1938,classical_fd
hours_worked,31,-0.1122,0.0365,0.1875,classical_fd
hours_worked,32,-0.1105,0.035,0.1871,classical_fd
hours_worked,33,-0.1129,0.0331,0.1885,classical_fd
hours_worked,34,-0.118,0.0361,0.1917,classical_fd
hours_worked,35,-0.1209,0.0339,0.1976,classical_fd
hours_worked,36,-0.1209,0.0351,0.2057,classical_fd
hours_worked,37,-0.1216,0.0359,0.21,classical_fd
hours_worked,38,-0.1202,0.04,0.2142,classical_fd
hours_worked,39,-0.1202,0.0429,0.22,classical_fd
hours_worked,40,-0.1198,0.0461,0.2287,classical_fd
unemployment,1,0.1446,0.1724,0.1908,classical_fd
unemployment,2,0.2456,0.2958,0.3261,classical_fd
unemployment,3,0.2794,0.3506,0.3944,classical_fd
unemployment,4,0.2464,0.3552,0.4164,classical_fd
unemployment,5,0.1737,0.3216,0.4119,classical_fd
unemployment,6,0.0846,0.2572,0.384,classical_fd
unemployment,7,-0.0072,0.1903,0.3424,classical_fd
unemployment,8,-0.0808,0.1225,0.2947,classical_fd
unemployment,9,-0.1321,0.0665,0.2442,classical_fd
unemployment,10,-0.1716,0.0198,0.1938,classical_fd
unemployment,11,-0.1921,-0.0162,0.1572,classical_fd
unemployment,12,-0.2063,-0.0379,0.1292,classical_fd
unemployment,13,-0.2117,-0.054,0.1046,classical_fd
unemployment,14,-0.2074,-0.0575,0.0862,classical_fd
unemployment,15,-0.195,-0.0564,0.0669,classical_fd
unemployment,16,-0.1789,-0.0524,0.0527,classical_fd
unemployment,17,-0.1634,-0.0474,0.0475,classical_fd
unemployment,18,-0.145,-0.0404,0.0469,classical_fd
unemployment,19,-0.1323,-0.0342,0.048,classical_fd
unemployment,20,-0.1185,-0.0292,0.0506,classical_fd
unemployment,21,-0.1066,-0.0204,0.0548,classical_fd
unemployment,22,-0.0967,-0.015,0.0596,classical_fd
unemployment,23,-0.0865,-0.0076,0.0635,classical_fd
unemployment,24,-0.0765,-0.0025,0.0683,classical_fd
unemployment,25,-0.0685,0.0045,0.0726,classical_fd
unemployment,26,-0.062,0.0077,0.0752,classical_fd
unemployment,27,-0.056,0.0117,0.078,classical_fd
unemployment,28,-0.05,0.0138,0.0797,classical_fd
unemployment,29,-0.0459,0.0159,0.084,classical_fd
unemployment,30,-0.0437,0.0177,0.0838,classical_fd
unemployment,31,-0.0393,0.0196,0.0851,classical_fd
unemployment,32,-0.0378,0.0224,0.0858,classical_fd
unemployment,33,-0.0371,0.0234,0.0888,classical_fd
unemployment,34,-0.0357,0.0242,0.0868,classical_fd
unemployment,35,-0.0338,0.0249,0.0883,classical_fd
unemployment,36,-0.0317,0.0244,0.0874,classical_fd
unemployment,37,-0.0323,0.0239,0.0861,classical_fd
unemployment,38,-0.0316,0.0234,0.085,classical_fd
unemployment,39,-0.032,0.0225,0.0825,classical_fd
unemployment,40,-0.0324,0.0207,0.0809,classical_fd
labor_share,1,-0.0269,0.1495,0.2986,classical_fd
labor_share,2,-0.0039,0.1085,0.216,classical_fd
labor_share,3,-0.0847,0.0336,0.1506,classical_fd
labor_share,4,-0.156,-0.0502,0.0572,classical_fd
labor_share,5,-0.2229,-0.1249,-0.0248,classical_fd
labor_share,6,-0.2589,-0.1753,-0.0856,classical_fd
labor_share,7,-0.2791,-0.2024,-0.1271,classical_fd
labor_share,8,-0.2827,-0.2081,-0.1362,classical_fd
labor_share,9,-0.2827,-0.1989,-0.1194,classical_fd
labor_share,10,-0.2716,-0.1836,-0.089,classical_fd
labor_share,11,-0.2581,-0.156,-0.0462,classical_fd
labor_share,12,-0.2392,-0.1242,-0.004,classical_fd
labor_share,13,-0.2217,-0.0892,0.0308,classical_fd
labor_share,14,-0.198,-0.0624,0.0645,classical_fd
labor_share,15,-0.1747,-0.0341,0.0889,classical_fd
labor_share,16,-0.1476,-0.0128,0.1101,classical_fd
labor_share,17,-0.1238,0.0049,0.1253,classical_fd
labor_share,18,-0.1065,0.0173,0.1336,classical_fd
labor_share,19,-0.0894,0.0255,0.1385,classical_fd
labor_share,20,-0.0779,0.0294,0.1369,classical_fd
labor_share,21,-0.0674,0.0316,0.1362,classical_fd
labor_share,22,-0.0619,0.0331,0.1325,classical_fd
labor_share,23,-0.0558,0.0347,0.1277,classical_fd
labor_share,24,-0.0512,0.0344,0.1233,classical_fd
labor_share,25,-0.0489,0.033,0.119,classical_fd
